n,dream,source_filename,date,pca1,pca2
326,Nick R was with two other women. They were having sex but it was also very rough and they were hurting each other and causing cuts and scratches or something that was causing them to bleed.,elizabeth.tsv,(2001-11-11),0.0238552,0.17907503
331,Christmas lights not working and me trying to get them to work.,elizabeth.tsv,(2001-11-25),0.03921012,0.3109519
342,Bruce W and Carl W were chasing me all over trying to tickle my feet. Aunt J had given me these two beautiful armoires and they had circular racks made of wood. They held ties and clothing that had belonged to Uncle A. The circular racks were about 6 feet tall and approximately 2 feet in diameter. As they spun it was beautiful color. The one was completely covered with ties. The other with other clothing.,elizabeth.tsv,(2001-12-09),0.014549976,0.2301087
349,The ZI Education Center contacted me about not having my class descriptions. I told them that I faxed it.,elizabeth.tsv,(2001-12-12),0.16192178,0.35396284
350,I was making coffee.,elizabeth.tsv,(2001-12-12),0.08566292,0.26693413
354,"I was traveling into the future and back again, repeatedly.",elizabeth.tsv,(2001-12-23),0.27597627,0.13035119
358,There was a note that said something about the formal dinners and makeup with the black people. I have no idea what it is about. Dancing.,elizabeth.tsv,(2002-01-07),0.13806674,0.3917122
361,"I was in my birth home but I was saying that it was my parents new home and it was raining like you wouldn't believe. The ceilings/roof was leaking something terrible. It was like it was raining inside it was so bad. My parents were away and I was trying to track them down and get the message to them and try to figure out what to do. Because it was just everywhere, so I couldn't even set buckets under drips. It wouldn't do any good to mop it up because it was raining so hard and was coming in so fast.",elizabeth.tsv,(2002-01-14),0.011496672,0.06451398
363,Something about Marshall E.,elizabeth.tsv,(2002-01-27),0.10754079,0.39739302
365,I was dancing with Vince P and looking up at him.,elizabeth.tsv,(2002-01-30),0.19618808,0.2706062
368,Tony S and Dorothy S and their children.,elizabeth.tsv,(2002-02-03),0.118210755,0.43265402
369,Matt Damon attended two of my dream groups. The one I remember specifically was the second one. We were getting the house ready as best we could for him to come. When he came he wanted to be treated like anyone else. He was just a farm person who was just an actor. I was also having these same thoughts.,elizabeth.tsv,(2002-02-08),0.40098768,0.07772396
372,"Extremely sexual. I had a lot of mixed emotions. Sadness, discouragement, hope, excitement, anticipation.",elizabeth.tsv,(2002-02-08),0.27065814,0.075022675
373,"I saw Bev. She had lost 120 pounds, which would make her maybe 80 pounds. She looked really, really thin. Not necessarily good thin. She had done it in just six weeks.",elizabeth.tsv,(2002-02-09),0.083850995,0.20794466
379,I was working for Doctor C at the SVSDC. Doctor W still worked there. I kept trying to avoid him because I didn't want him to see me there. I was wearing mauve colored scrubs with a white jacket with a colorful print. I worked for Doctor C not for SVSDC. I think I was in research. One time I went in to pick something up and the night tech.,elizabeth.tsv,(2002-02-23),0.07029078,0.307402
380,The characters on the show Seventh Heaven. Mary had been killed by a burglar. She joined a child that they had lost. The child was about a year younger or a year older than Mary. I can't remember her name now. Mary was visiting the different family members that she left. her husband and her children. She was visiting them frequently to watch over them and see what was going on with them.,elizabeth.tsv,(2002-02-24),0.10245285,0.21584375
384,I went down several flights of stairs with no handrail. That would normally be a little scary to me in waking life.,elizabeth.tsv,(2002-03-05),0.22037016,0.03429727
389,Some kind of romantic situation with Bill C.,elizabeth.tsv,(2002-03-09),0.076476485,0.29542357
