n,dream,source_filename,date,pca1,pca2,q_pca1,q_pca2,cluster
090-1,#090-1 I was at Fenway with a childhood friend who I haven't seen in over 10 years. Bucky Dent was coaching third base. While the game was going on he came over to the seats and asked me what my name was. The whole time the game is still going on but in a way that didn't make sense. I can't remember why it didn't make sense. The next thing is we're standing in a living room. He's signing autographs and giving me all the baseballs that he signed. It was much longer but by the time I wrote it down I could only remember this small chunk. I do remember seeing this same scene over again about 5 or 6 times.,college-m.tsv,,0.11565927,-0.10727058,0.08598224,-0.088842735,3
10,Dan M was wearing a pair of shorts. He had a small tattoo of two leaves and a vine on one leg. The other leg was almost covered with the same design but I couldn't tell if it was an actual tattoo.,elizabeth.tsv,(1993-02-27),0.2370181,-0.18821792,0.04422913,-0.19705077,0
11,"I was on a houseboat, fishing and doing laundry. I was joined by some friends and we decided to have a contest. I caught the first two fish. Someone else was doing the laundry. I kept urging them to work faster, as if it had something to do with the fishing contest.",elizabeth.tsv,(1993-02-27),0.009221785,-0.20950514,-0.38131332,0.078938805,2
14,"Bruce S was dressed as a woman. I can't remember why. Later, we were both dressed up in very elegant clothing and we went out to dinner and dancing. We became very close and intimate. Ray H and Kay H were furious that their son, but it was still Bruce S, would be dressed as a woman. He had each of us urinate in a bottle and then was squirting us in the face with it while yelling and screaming.",elizabeth.tsv,(1993-03-02),0.1924051,-0.046762377,0.17957117,-0.09130631,1
15,I was married to the man who plays Jack in the TV program Love and War. Here his name is Ben. I had a baby. We named him Benjamin. The baby wasn't well and was going to have to spend the first two years of its life in the hospital. The problem is that he would occasionally just stop breathing. My family and friends were keeping me posted on how the baby was doing. I was sobbing often and a lot and having trouble coping.,elizabeth.tsv,(1993-03-07),0.10364975,-0.03199449,0.124685094,0.015125372,1
16,"Grocery store, man, wholesale club, meat only.",elizabeth.tsv,(1993-03-10),0.12085534,-0.43879536,-0.24141707,-0.044780888,0
17,"Tony S, Dorothy S, and Jane H. Snow. One lane.",elizabeth.tsv,(1993-03-10),0.23808561,-0.30931687,0.1043791,-0.026382523,0
18,David Letterman Socks Show. Diane S. Limo. Comedy Club. Intimacy. Video. Another man.,elizabeth.tsv,(1993-03-10),0.28310162,-0.34032348,0.18788281,-0.1074153,1
24,"I was with someone in a store kind of like a Kmart. I don't know who I was with but they were shopping in a different part of the store. I was looking for plastic storage containers. I wanted to see how much they were or if they were on sale. When I got to the aisle where the storage containers were they were many sale signs hanging by them on the back wall of the shelving unit. I remember seeing one that made me think they were on sale for $5 and some cents. The signs were hanging next to the containers rather than in front of or over or under the containers, as would normally be the case in a store. There were actually no products for sale under or over the signs. I remember thinking this is a great price. The containers were clear, frosted kind of look, with blue lids. They were rather large, like 5 gallon size perhaps but rectangular. I decided to look more closely at the signs and realized that all of the sale signs were for personal care products that weren't even in that aisle. They were hanging in layers on top of each other but maybe four or five across also. I thought to myself, ah, the employee who was supposed to hang these probably didn't want to do it so hung them all here just to say the job was done. I went to find a manager to tell them about it. I found a young man, though I don't know if he was a manager or not, and told him about the signs. I walked back to the location with him. When we got there, an employee had just finished filling that spot with Tampons. I get a sense that he put the tampons there but I'm not sure. The tampons were piled so high that they hid the sale signs completely. The man I brought back to show them to somehow looked behind the tampons and saw the signs. As I walked away, he was using a hammer to loosen the shelf above the tampons/containers/signs. I thought that he was doing that so he could get to the signs to remove them. The next thing I remember is that I was still in the same store but I was looking at clothing. As I was looking, I encountered a woman acquaintance. I say acquaintance because I don't know who she was. I get the sense that she was someone that I was not particularly fond of. I chatted with her a bit; she was just standing around waiting for someone she was with who was shopping. I selected a few items and went to the dressing room to try them on. As I returned from the dressing room, I went by the men's dressing rooms. They were all full. While I could not see any of the men in the room, I got the sense that one man was completely naked and I could see pubic hair, nothing else. I felt embarrassed and tried to hurry by. Some men looked at me as though they thought I worked here. I remember thinking to myself that I have spent too much time working in retail, because my past work in retail affects my shopping experiences, related to things like the sale signs. Now these men think I work here. They were trying on sports coats. I commented to both of them that they looked great. They were both black men. The one seemed very happy that I told him he looked great. He said something to the other man as I walked away. I don't know what he said. I went back to where I got the clothes I had just tried on. The woman acquaintance was still there. She was kind of leaning on a circular rack full of clothing. I approached her again; I think to put the clothes back that I had just tried on. She was standing so close to the rack that she was somewhat in between the clothes on the rack. I started talking with her again. It seems that we were talking about a mutual acquaintance. I don't really remember, except that she made some comment about alcoholism and I asked her if she was an alcoholic. She said yes. I am now walking around the store pushing a shopping cart and at the same time trying to carry a large metal ladder. I can't remember why I had the ladder. It also seems to me that there was nothing in the shopping cart. I have been called to the manager's office. When I walk in there are two male management members and one female. I remember nothing about the female. The one male did all of the talking and the other male, who seemed to be his superior kept fidgeting in his chair and turning his back to me through the whole conversation. The male who did all of the talking was the actor who used to play Judge Harry Stone on night court. He began by saying they wanted to discuss a few things with me. They handed me a list and began to go over the list. The list was typed on rather dark, brown, very heavy stock paper. I wondered to myself why they had chosen this because you could hardly read what was typed on it. The first things they discussed were very general and did not appear odd to me. I was cordial and making light, comments to evoke smiles or chuckles as the conversation began. They said they had been watching me on camera that afternoon. I think that it was at this point that I determined that they were terminating my employment. I looked at Harry and said, you are accusing me of stealing aren't you. He said, you bet we are! I realized we all had the brown pages and they were in a binder with a rather large number of other pages though the others were all white. I told him I wanted him to put that in writing, on one of the white pages. He said gladly. He and I started flipping through the white pages. It was as though he wanted to pick a certain page to write it on. I didn't care; I just wanted it in writing. I was so very angry. I had stood up at this point and was talking very loudly and angrily at him while pointing to the book and asking him to put that in writing.",elizabeth.tsv,(1999-06-12),0.011648785,-0.34212193,-0.337459,0.033332493,0
36,I was going through a bag of clothes that I was going to give away and I found my green jumper that I intend to wear tonight on a date.,elizabeth.tsv,(2000-01-15),0.1022713,-0.1404403,-0.24728802,-0.01876406,2
38,I keep having these images of a blanket with black groups of strands of hair hanging off of it.,elizabeth.tsv,(2000-02-02),0.06806353,-0.15460818,-0.17213629,-0.16785738,0
39,"I was playing cards in a very large room. I had a 69 and the flip was 69. There was a large group of players, 50 or more. The card was a king so I threw my hand away. Chris A was playing in the same room. I left my seat and the room was so crowded I could not find a new seat.",elizabeth.tsv,(2000-02-04),0.11414031,-0.027814656,-0.2439211,0.00026689543,2
46,I call a TV repair service to fix the TV. It took a long time but the service man showed up. After considerable time he was done and he presented the bill. It was outrageous to me. There were three items and two seemed reasonable but the third was excessive. I talked to the repair man about this. He showed me a part that seemed like a simple plug. I did not pay the bill but said I would contact the owners. I asked if labor was included and he said no. The repair man had been to the house before.,elizabeth.tsv,(2000-03-04),0.07913102,-0.2599069,-0.1341672,0.11846081,0
49,"It was winter. We were transforming a gymnasium, maybe to be used for a concert. I was explaining something to someone. Someone was making out in car.",elizabeth.tsv,(2000-03-24),0.13864261,-0.049939543,-0.14896606,-0.030669611,2
52,"Vince P was partially clothed, laying in a fetal position by his dining room table. I heard footsteps on his stairs. indoors. It was his mother-in-law. I arose and looked at the stairs and asked if it was Sue P. It was dark so I couldn't tell. Vince P's mother-in-law was taking things to her car. She never said a word. After she was gone, he was telling me about these new condos and how great they are. I was asking him questions about them. He said he was getting a one bedroom that he and Sue P were splitting because she was involved with someone else.",elizabeth.tsv,(2000-04-02),0.023206815,-0.0921237,0.06323382,0.009330448,1
53,"I was driving around town, maybe to a Target store. I went to one store but left right away and went to another. They didn't have any shopping carts.",elizabeth.tsv,(2000-04-02),0.1795901,-0.20300424,-0.36847046,0.13393565,2
55,White dove momentarily appeared.,elizabeth.tsv,(2000-04-03),0.14714366,-0.19213064,-0.07329699,-0.17336453,0
56,"White dove appeared. There was an angelic presence though I saw no figure or form, only a beautiful light. You have the knowledge.",elizabeth.tsv,(2000-04-03),0.12111206,-0.09577748,-0.10747117,-0.19828515,0
59,I had asked someone something about our computer work and they didn't tell me the truth. I don't know if it was on purpose or not. It caused me much extra work. I had three huge stacks of patient charts on my desk to do something with as a result. I was trying to find a better way to fix it rather than doing all those charts. I was talking to someone about it.,elizabeth.tsv,(2000-04-04),0.06393644,-0.2527065,-0.23990819,0.24803019,0
60,"I felt like I spent all night working with the MMPI, thinking INSP and trying to figure out what I am. Maybe I am INSP.",elizabeth.tsv,(2000-04-05),0.10396883,-0.23427431,-0.06412674,0.17739616,0
61,Back to Barry C and some research papers. I was trying to salvage some situation here as well.,elizabeth.tsv,(2000-04-06),0.19900878,-0.2005195,-0.09970282,0.14840958,0
66,"I was working on my website, moving things around.",elizabeth.tsv,(2000-04-12),0.17149094,-0.14366338,-0.35405436,0.1634511,0
67,"Anne Co from SVH and Lucy from the TV show ER were there. The three of us were working together. We were supposed to be working in this old building full of old furniture. It seemed to be used for storage. They were pretty much letting me set up where I wanted. I put my desk by a window. I think I moved it again. Had to move lots of stuff around. Very dirty, dismal cluttered place.",elizabeth.tsv,(2000-04-14),0.20552452,-0.2133719,-0.21064444,0.10657059,2
68,I was working on my website.,elizabeth.tsv,(2000-04-15),0.265643,-0.18345189,-0.27245185,0.15545942,0
69,I was working on my website again.,elizabeth.tsv,(2000-04-16),0.18655796,-0.1975733,-0.23121053,0.105893806,0
71,I was teaching Matthew about appropriate choices for sexual relationships.,elizabeth.tsv,(2000-04-21),0.17933065,-0.2510003,0.09091431,0.04371302,1
72,"I was at Barry C's apartment. We woke in the morning. He and I were in bed, listening to his daughter talk to herself in the kitchen. She had music playing. She said she was having defibrillated cheerios. We went out to the kitchen and Barry C introduced us. We each exchanged three sentences but I don't recall what they were.",elizabeth.tsv,(2000-04-21),0.29816407,-0.016097426,0.04191214,-0.001211723,2
74,This was something about sex toys.,elizabeth.tsv,(2000-04-26),0.1820416,-0.2267938,-0.081657894,-0.11178822,0
76,"I was working at computer, opening, reviewing and closing many letters written to colleges. Each letter went to the same mailing list, different topics.",elizabeth.tsv,(2000-04-29),0.1938077,-0.2260981,-0.23642513,0.33540025,0
79,Barry C and I were both celebrating our birthdays. Patty U brought us each a round birthday cake. She lit the candle only on his. Mine didn't have a candle.,elizabeth.tsv,(2000-05-10),0.27724916,-0.1536646,0.027845599,0.0016778955,2
81,Something about witnesses.,elizabeth.tsv,(2000-05-17),0.100983605,-0.19399911,-0.065552704,-0.1636833,0
84,"A grey-haired woman in a rocking chair. Rocking, Wearing a lime-green dress.",elizabeth.tsv,(2000-05-30),0.023328736,-0.33307517,-0.118113235,-0.124720976,0
85,"A calendar. The date was the first, but of no particular month.",elizabeth.tsv,(2000-05-31),0.34033084,-0.2210907,-0.10345497,0.14859346,0
86,"I was with BJ, sobbing, saying, I don't know what I'm going to do without him, referring to Matthew going to college.",elizabeth.tsv,(2000-05-31),0.1737022,-0.047919184,0.15764533,0.08061466,1
90,A wonderful spiritual dream.,elizabeth.tsv,(2000-06-17),0.015856225,-0.0062924623,-0.13210253,-0.2780398,0
92,"Barry C called to tell me that they were going to get married. I said you and Patty U. He didn't answer me, but I knew from his response or lack of that I was right.",elizabeth.tsv,(2000-06-19),0.24609624,-0.20863496,0.30224395,-0.06925207,1
93,I was at a sleep conference in Las Vegas.,elizabeth.tsv,(2000-06-22),0.32380277,-0.048220605,-0.056950595,0.08470449,2
94,I was preparing to do a lecture. For some reason Ann B was involved. People were arriving at my house and I wasn't ready.,elizabeth.tsv,(2000-06-23),0.08505386,-0.11889218,-0.11209071,0.22831012,2
96,"Santa Claus and two reindeers. The reindeers may have been people in costume. I'm not sure if we were outdoors, in a basement or both.",elizabeth.tsv,(2000-06-24),0.22296505,-0.12061682,-0.16300543,-0.12142153,2
97,Many children's hands.,elizabeth.tsv,(2000-06-26),0.1749973,-0.33600235,-0.11341294,-0.104982756,0
104,Something about Barry C and my red satin nightgown but it wasn't sexual.,elizabeth.tsv,(2000-07-12),0.25208336,-0.016557842,0.123472914,-0.16855995,1
105,Something about Raina D.,elizabeth.tsv,(2000-07-13),0.283504,-0.2046784,0.123679884,-0.1525512,3
107,"DT online chat. I woke up to go to the bathroom thinking, I have to hurry so I don't miss much of the chat.",elizabeth.tsv,(2000-07-19),0.18195498,-0.20888749,-0.054639634,0.048983343,0
108,Reading old email.,elizabeth.tsv,(2000-07-22),0.1654278,-0.18242782,-0.10236631,0.10406463,0
111,"The Lambert's had died and we were having a double funeral. At the wake, Mrs. Lambert opened her eyes and we realized she wasn't dead at all. I don't remember if Mr. Lambert woke up or not. Later, Mrs. Lambert appeared to be a young woman. I was defending her to some people, but I don't know who or why. ",elizabeth.tsv,(2000-08-14),0.2033134,-0.0038378239,0.14792934,-0.070497476,1
113,Someone was sprayed with pepper spray and was freaking out because they thought it was mace. Then someone sprayed three more people to show them that it was only pepper spray but they sprayed it on their shirts not on their faces.,elizabeth.tsv,(2000-08-16),0.15653671,-0.13869287,-0.08409483,-0.10602047,0
116,I was talking to two women and a man. One woman was Darren's new wife but it wasn't Angie Ho and I'm not even sure that Darren was my ex-husband. My ex-in-laws were there but it wasn't Ray H & Kay H [different people than in waking life] . I had begun to feel good about how I was doing on my own when the ex-wife shows up and tells me that he hasn't kept up with the car payments and now I have to catch them up. I got very upset.,elizabeth.tsv,(2000-08-18),0.019341845,-0.10948768,0.1249646,0.15638925,1
120,"I was at CIIS. Matthew Lauer and Ann Curry were there. There was some joke about a red bull. I was in a car with someone. They were driving. There was a life-size, cardboard, red bull in the driveway. I was telling Matthew and Ann C about it and said it sounds like something Julien would do. I went to sit down for breakfast. Julien D was there eating a bowl of cereal. They looked like colored cornball cereal. He looked at me and said, Vas is los? [German phrase I have no idea how to spell] . I said, wait a minute. Let me think. Then said, Noonagaboona. [Again, German, no idea how to spell.] I said wait a minute because I thought something else should be said first. I sat down next to Julien D and began eating cereal also.",elizabeth.tsv,(2000-08-25),0.06604457,-0.10276233,-0.06390704,-0.06748108,2
122,There were three Nick R's. They all looked different but all named Nick. Yet all were the same Nick R. One of them was trying to become a better person and trying to show me that by treating me much better than he had in waking life.,elizabeth.tsv,(2000-09-01),0.26912066,-0.017102629,0.1303502,0.0909565,1
123,I was working in the flowerbed. All of the tomato plants had died so I was pulling them all up and removing the tomato cage. There were many birds sitting on the fence.,elizabeth.tsv,(2000-09-01),0.13679987,-0.09301256,-0.36069345,-0.0009605435,2
127,"In a car with Bart H. He was driving. We were going to airport to get him a flight home. While driving he leaned over to kiss me. hesitated for just a moment, then proceeded. At first I didn't kiss back but then melted into the kiss. It was very nice. It was our first kiss. He started talking about us being together soon. Then he said something about me being very hot. I moved closer to him and put my hand on his thigh. We kissed again.",elizabeth.tsv,(2000-09-21),0.081653066,-0.018359989,0.04018823,0.029122356,2
131,"It was the morning of October 21, 2000. I was at this large, old house. 2-3 people showed up for the first regional conference. They had not pre-registered but rather just showed up hoping to get in. I explained to them that the event had been cancelled and I think they left but I'm not sure. The next thing I know there are 50 or more people there for the same reason. Wanting to attend but not having pre-registered. I had them all take a seat at tables. The tables were all like dining tables and set up with dinnerware for a meal. I climbed halfway up this very wide staircase to speak to the people. I said, I am vertically challenged so I'm going to stand up here to help you hear me. They all chuckled. I announced that there had been a problem with the mailing and so we had cancelled the event. Since there were so many of them there, we were going to see what we could do to accommodate them. I explained that there was no way we could get Bart H there at this late notice, but I would see if we could get Barry C on an immediate flight. I also stated that my presentation would be different since I did not have the proper AV equipment. I was thinking that I would only tell them that much although I was worrying about it because I had not finished preparing that talk. I was also trying to figure out what we were going to do about food, etc. I didn't mention anything about vendors because I knew there was nothing that could be done about that. I noted that two of the people who had signed in were people who had worked with dreams and I think I knew them. I had asked one of them if he could make a presentation to fill in the space allotted for Bart H. Somehow the other one got the message that I had asked for him. I decided that was fine. Regarding the food, at first I thought I would have to just tell them they would be on their own for lunch. A little later, I thought I about doing something simple that could be done last minute like calling Subway to deliver. That way we could still do the lunchtime dream discussion groups. I told the people who were there that I would figure out an adjusted price due to the circumstances. I thought a little more about what would be involved to get Barry C here. I thought he would surely have some money in a savings account that he could pay his expenses just until he got there and then I could reimburse him. I would have to tell him not to call Continental just to use his $100 voucher but try to find the best airfare for the time he needed. I would also tell him to just take a cab when he gets here and I would reimburse him for that as well. He might have to take a cab from his home to the CHV airport as well. I think I woke up more than once in the middle of this dream [unless I was simply lucid] thinking I can't believe that this is a dream and the event was supposed to be yesterday. But I am working through this in such detail in a dream, knowing that it didn't or wouldn't happen.",elizabeth.tsv,(2000-10-22),0.08384564,-0.13254672,-0.036026683,0.13906261,2
132,Matthew owned a small car. I was thinking about the fact that small cars are more dangerous than larger ones.,elizabeth.tsv,(2000-10-22),0.07240729,-0.2013571,-0.01946382,-0.13031794,0
133,I was wrestling with schoolwork.,elizabeth.tsv,(2000-10-23),0.25542396,-0.07600081,-0.1460269,0.26078346,2
134,Carmen and Duffer.,elizabeth.tsv,(2000-10-23),0.29465854,-0.19660485,0.252627,-0.064981386,1
135,I think I was at intensive with Matt O. We were sitting side-by-side. He had his arm kind of around me and kind of on the chair. I wondered if it signified a romantic interest.,elizabeth.tsv,(2000-10-27),0.17906107,-0.21933341,0.16911666,-0.09944893,1
138,"I was five people at once, moving in a clockwise circle on top of the head of a pin. The direction changed to clockwise because someone said it needed to for safety reasons. I'm not sure why.",elizabeth.tsv,(2000-11-09),0.11923894,-0.21570864,-0.2697717,0.0066268253,0
140,"I think I was at Brad F's store. An older couple was trying to get us to go out. I was trying to get Brad F to realize that I would get us out of it, which I did.",elizabeth.tsv,(2000-11-11),0.31807965,-0.11328395,0.12715513,0.07058067,1
141,"I opened my middle left desk drawer and work and there were green beans lying loose in it, along with the other things that I actually do keep in there. ",elizabeth.tsv,(2000-11-15),0.059540223,-0.28535244,-0.3170485,0.111904904,0
142,"You do your homework again, and you're not going to be flying for a week.",elizabeth.tsv,(2000-11-22),0.050138064,-0.29840255,-0.11831481,-0.010913088,0
144,I married Chip P in a very casual ceremony. We were dressed in black and white casual clothes. He sang to me during the ceremony. I stood with my hand in the crook of his arm. I was thinking about whether or not I was sexually attracted to him.,elizabeth.tsv,(2000-11-27),0.09975412,-0.13345753,0.028642295,-0.07713498,2
147,"Nikki Neuman from the Young and the Restless said something that we could go into this other room to observe something or someone. She said, they always let her use this room for various things. One of the things she mentioned was washing her car. We were also eating cheese wrapped in ham.",elizabeth.tsv,(2000-11-28),0.08965718,-0.18992116,-0.037803054,-0.20484278,3
151,All I remember is the name Paul Gorrell [unknown in waking life] .,elizabeth.tsv,(2000-12-21),0.44081378,-0.09244926,0.28128248,-0.043791052,1
159,I was at a department store with Theresa Ah. They had candy on sale so I bought several bags- each a different kind. I also bought two desserts. One was a cream pie.,elizabeth.tsv,(2001-01-20),0.21340863,-0.29255396,-0.24391706,0.14235534,2
160,There were puppy dogs that looked like Goonies.,elizabeth.tsv,(2001-01-21),0.23034269,-0.14068745,-0.037536085,-0.05450766,0
161,"Rick A and Bill Cra were there. I was working at an ice cream shop or a fair, not sure which. A child came up and asked for an adult sundae. It was supposed to have vanilla and chocolate ice cream. I put the vanilla in and then started to put strawberry in it. I realized my mistake and scraped the strawberry out. I was being interviewed I was at a ball game or racetrack. Ruth M was there. It was a bright, sunny day. I was sitting in the grass, wearing a dark-colored short skirt. I pulled the skirt down as far as I could while sitting. It came just above my knees.",elizabeth.tsv,(2001-02-03),0.15439893,-0.022678554,-0.15621497,0.02230432,2
162,"Myself, Dorothy S, and two of her girls were there. Ray K and Kay H were in it. I was in their car. When we arrived at our destination they opened the trunk and insisted on giving me cans of various kinds of fish. Some were salmon in sardine cans.",elizabeth.tsv,(2001-02-04),0.2833386,-0.055140287,-0.16163854,0.011578358,2
166,"I was talking with Jana S. I was asking about how things are at the sleep center now. I asked how things are between her and Doctor W and she said, no, different.",elizabeth.tsv,(2001-02-13),0.12581426,-0.17298919,0.15948027,0.043307062,1
170,"I was at a restaurant, like a Denny's. I was having dinner or lunch with someone but I don't know who it was. I went to get something and saw Tim W. I stopped to chat with him. He was there alone. I wanted to sit and talk with him but knew that would be very rude to the person I was with. I thought maybe the other person would leave and then I could join Tim W.",elizabeth.tsv,(2001-02-20),0.10225176,-0.015591472,-0.08285038,0.14906268,2
175,"Aaron S, romantic partner, two little girls, red hair, tent poles, Daddy, home. another man, romantic partner, Mike A after he's gotten out, BJ, car.",elizabeth.tsv,(2001-03-02),0.25475734,-0.18146437,0.28979015,-0.18240553,3
181,It had a horse in it that was named Patterson.,elizabeth.tsv,(2001-03-11),0.27361685,-0.232124,0.121000886,-0.05558273,1
183,"Hotel, Darren, dinner, memories of engagement, other people, too much to drink.",elizabeth.tsv,(2001-03-11),0.24646877,-0.23264927,0.18083371,-0.040568274,1
198,We had these typed job descriptions. I found one that matched me very well. I was very excited about it. I was putting it in a glass frame.,elizabeth.tsv,(2001-03-22),0.13702229,-0.2629709,-0.1550642,-0.037837848,0
199,Matthew came in a room and asked me for a phone number for himself not for MC. One night he didn't have to use his phone card number.,elizabeth.tsv,(2001-03-23),0.16919306,-0.13902678,0.11134404,0.050449632,3
206,"_________ was there. I was so excited to see her. It was something about a job, doing it well, being successful with it. I was with her at somebody's house with a bunch of other relatives.",elizabeth.tsv,(2001-04-05),0.30133677,-0.06867027,-0.012757378,0.071306,2
211,Kevin Bacon and I were flirting with each other.,elizabeth.tsv,(2001-04-18),0.20762989,-0.09371397,0.13572551,0.03415689,1
217,"I was with family and I realized I had missed all of my 4.28.01 appointments. I looked in my appointment book to see who I would have to call and how many would need to be rescheduled. I was at a meeting. It was a large room, like a conference room, with many tables. I gathered my things along with a cup of water and tried to find a seat near the middle of the room. The speaker kept moving around and I thought I would be able to hear better there. The people didn't want me there and made that very clear. I picked up my cup of ice water and papers and moved again.",elizabeth.tsv,(2001-04-27),0.053562112,-0.14237939,-0.30577692,0.21489455,2
219,I called Mother a day late to wish her a happy birthday. Then I forgot to say anything when I called. I realized I would have to call her back.,elizabeth.tsv,(2001-05-01),0.19187859,-0.042455673,-0.12915464,0.16316171,2
224,"We were at a Harris Family reunion. Bruce W was there. I think with his wife. He had a lot of small animals in cages, about the size of Sir Gallahad. They were very unusual. There was a cow and a pig. There were quite a few puppies. One was a bear. They were miniatures. They were all very tame, gentle, and easy to play with. One of the puppies was fighting me a bit so I sat him down or he wiggled out of my hands. Bruce W corralled him back into his care right away.",elizabeth.tsv,(2001-05-04),0.2684815,-0.043590426,-0.018981555,-0.0025368598,2
229,I had a second child. He looked very much like Matthew but his name was Benjamin. I commented that I too often call him Matthew. Matthew was the age he is now in waking life. Ben was two or three. He was eating something very messy and I had to give him a bath.,elizabeth.tsv,(2001-05-12),0.29574138,-0.020535588,0.13587813,0.1333679,1
233,"I was at a conference similar to the old DDSI Conventions. I was a supplier. Marcia N was there and she told me that Carol [unknown in waking life] from CFC was there and had been given a new job as a Sales Executive. Shortly after that, Marcia N asked me about ordering flower arrangements. We had ordered two the year before so I ordered two again. Craig B came to say good-bye and I made some light jokes about him leaving today and it being our first day there, and some different little things.",elizabeth.tsv,(2001-05-21),0.1854378,-0.25720552,-0.022586942,0.15721337,2
243,"Typical Hollywood aliens, no clothes, big smooth head, dark eyes and features. I think they had something to do with Darren making himself more at home here lately and I don't like that at all. I'm trying to be nice and keep the peace during Graduation activities for Matthew's sake, but I really don't like Darren getting so comfortable here. I think I was saying to Matthew how much I enjoy it when he brings his friends over, how much I enjoy having them here. Even the aliens were okay. But I didn't want his Daddy getting so comfortable here.",elizabeth.tsv,(2001-05-31),0.14358142,-0.2755003,0.19825958,-0.03256986,1
247,Talking to Pam Ta about Sophia K not being at group lately and not hearing from her. I was telling Pam Ta how unusual that was. She had told me she wasn't going to be at one meeting but I haven't heard from her since. I was thinking about telling Pam Ta about this in an email. I was thinking that maybe Sophia K was doing this because the last time she missed I didn't write her to tell her we missed or anything. It's just very odd that she would not show up and not contact me.,elizabeth.tsv,(2001-06-07),0.07592257,-0.2488299,0.08657524,0.11798144,3
254,"Gary S was very happy to see me. He was still attracted to me. We felt very close, almost as if we had not been apart all these years.",elizabeth.tsv,(2001-07-03),0.22008133,-0.103163406,0.15624619,0.05800445,1
