n,dream,source_filename,date,pca1,pca2
28,"I was a manager at a type of retail store like a Wal-Mart. I opened up some new packages of different kinds of chewing gums. In one box that I opened, there were six or eight different kinds. After I opened them, I realized that we really didn't need them at the register. I put them there anyway. I remember thinking how good they smelled. I realized that they were different from the ones that were sitting there; the ones that I thought I was going to be refilling or replacing. That's why I decided to just put them there anyway. The cashiers needed some help with some money. I went down. I thought I'd do my part. I'll work my Saturday. I'll work my shift. No extra. As part of the management team, I'll do my part. I'll work my Saturday. The next thing I know I am at GC. I'm sitting in a room in a circle with some other students and people who work there. I was thinking that I've graduated but I'm waiting to hear the assignments of who our student advisor is. Our student advisor is another student who is further along in his or her studies than we are. I'm sitting thinking that I would be one of those advisors, yet I'm sitting there waiting to here who mine is going to be. There are a few that people are really hoping to be assigned to. I'm confused as to whether I am one of those or if I am eager to get one of those people. I go to Terry K and explain to him that I am not going to be there as a student. What I will actually being doing during that time is working on the preparation work or whatever I need to do to present my dissertation idea and asked him if I really need to be there for that. He said he found the campus to be a wonderful, meditative getaway spot for him when he was doing that. He came there simply for that reason because it was such a great place to be to do that type of work. He found it very productive and beneficial. He was able to get a lot done there. I thought that made sense. I remember thinking right away about the money, how much money it would be. I would be paying $1500 for residency.",elizabeth.tsv,(1999-09-12),-0.14885306,0.09137096
35,I was being chased. There were three men working in a kitchen or hotel. It was a huge room and there were many people around. They had on chef's aprons and hats. One of them must have been the head chef. The other two did something wrong that somehow was involved in me being caught and getting away. I don't know. The head chef made one of them drink a ladle full of dishwater.,elizabeth.tsv,(2000-01-15),-0.039258033,0.023530252
43,"Doctors were doing something to alter patients minds. Noah Wyle, an actor on ER, had found out about something that some of his coworkers were doing that was very wrong. They cornered him and took him to this upstairs location kind of like a loft. They significantly injured him physically, though I don't get the sense that they beat him. It was like they had put some kind of cuffs or something around his wrists and ankles and caused severe abrasions that were about 2 inches wide all the way around on each ankle and wrist. He was bleeding a lot. Down the middle of his chest were severe abrasions. He tried to sneak down to the locker room so he could clean himself up. He was trying to hide it so know one would find out what they had done. He was doing this to protect himself because they had done this to threaten him so he wouldn't report them for what they had done. He was putting on his scrubs and he had tied a whole lot of medications for his injuries tied to a belt. He was trying to hide them under his scrubs. A nurse coming in for her shift happened to look in and saw all the medications. He was talking to someone. That person didn't notice but this nurse did. Before that, I was talking to a supervisor. I guess I worked there. She had told me to check an ad and see if some things were still on sale. I had to stand on a wall heater or something to be able to look at an ad that was posted on the wall. I don't remember what it said but I decided from looking at it that the stuff was not on sale any longer. I never did go back and tell her that. She also wanted me to put out some new things on a shelf. She instructed me that even though the boxes were very attractive that I was to take the things out of the boxes to display them. There was a section of shelves where we displayed over-the-counter medication for employees. We kept them in the boxes. She wanted to make sure that I took these out of the boxes to display them. I went by one area that there were all kinds of hair care. It was large bottles. They were all green. Doctor B came by. I didn't say anything to him. I don't remember any conversation or anything. I just had the sense that he was there. I didn't do anything with the hair care products.",elizabeth.tsv,(2000-02-08),-0.07737128,0.03421955
46,I call a TV repair service to fix the TV. It took a long time but the service man showed up. After considerable time he was done and he presented the bill. It was outrageous to me. There were three items and two seemed reasonable but the third was excessive. I talked to the repair man about this. He showed me a part that seemed like a simple plug. I did not pay the bill but said I would contact the owners. I asked if labor was included and he said no. The repair man had been to the house before.,elizabeth.tsv,(2000-03-04),-0.12341952,0.32802302
51,"I was in a car with Bill F. He was driving. We were in SC. We were going to be moving there. We had found a condo to purchase and live in. I don't remember if we/I was going to purchase or rent. We were driving by the condo and I wanted to stop and look at it again but we decided we could on the way back from wherever we were going because we had to come back for Matthew before we left to drive back to our home state. We were headed to a meeting. When I arrived at the meeting with a female business partner, Bill F was not around. We were the two principal executives of a multi-million dollar company. It had something to do with hair salons. The place where we were meeting was a very large hair salon. Someone was showing us around and introducing us to everyone. I think my partner and I were buying the salon or taking it over. I'm not sure which. One of the women that was working there was wearing an apron. It said something like I do shampooing or some such. I said I wanted one like it, even though I wouldn't wear it. David Letterman was at the meeting. He was telling me that he had invited someone to dinner and she was very reluctant to go with him. I told him he could invite me or me and my partner anytime and we would be there.",elizabeth.tsv,(2000-04-01),-0.29103866,0.02324503
52,"Vince P was partially clothed, laying in a fetal position by his dining room table. I heard footsteps on his stairs. indoors. It was his mother-in-law. I arose and looked at the stairs and asked if it was Sue P. It was dark so I couldn't tell. Vince P's mother-in-law was taking things to her car. She never said a word. After she was gone, he was telling me about these new condos and how great they are. I was asking him questions about them. He said he was getting a one bedroom that he and Sue P were splitting because she was involved with someone else.",elizabeth.tsv,(2000-04-02),-0.12450201,0.1278194
57,I was at work ISWRI. Someone was storing two lawnmowers in my office. I was trying to figure out what to do about it since Doctor W is on vacation.,elizabeth.tsv,(2000-04-03),-0.2470681,0.28703415
59,I had asked someone something about our computer work and they didn't tell me the truth. I don't know if it was on purpose or not. It caused me much extra work. I had three huge stacks of patient charts on my desk to do something with as a result. I was trying to find a better way to fix it rather than doing all those charts. I was talking to someone about it.,elizabeth.tsv,(2000-04-04),-0.026723893,0.37609977
67,"Anne Co from SVH and Lucy from the TV show ER were there. The three of us were working together. We were supposed to be working in this old building full of old furniture. It seemed to be used for storage. They were pretty much letting me set up where I wanted. I put my desk by a window. I think I moved it again. Had to move lots of stuff around. Very dirty, dismal cluttered place.",elizabeth.tsv,(2000-04-14),-0.019127369,0.35481587
75,"Albert S had been seeing a counselor. He said they had been wrong about me, the boys in my grade school. There were also two dogs of different breeds. I was trying to get through a gate without them following me. Later I was trying to let Stephen F through the gate without the dogs getting through.",elizabeth.tsv,(2000-04-26),-0.060638342,0.027014796
78,Men and boys were letting bears eat the women. One man and I needed to go somewhere to make sure the bears didn't eat us. We buried ourselves in snow up to our heads. This makes no sense though because we couldn't go anywhere if we are buried in the snow. Why not just stay in the house?,elizabeth.tsv,(2000-04-30),-0.04538452,0.10413111
80,"I was on a ship on the ocean. I don't know who I was with. The ship was an old sailing ship, kind of like the Mayflower. One man was dressed in the fashion of Captain Hook but he was not a bad person. Nor did he have any impairments. There were other people on the ship as well. I don't know if we were trying to get away from someone or trying to accomplish something. I don't recall any particularly bad feelings. We had docked and someone was handing me furniture and other things to put on the ship. Without their knowledge, I was just throwing the things off the other side. This was good, because it would somehow protect us.",elizabeth.tsv,(2000-05-14),-0.057774175,0.03883251
82,"I was at work, cleaning up the patio outside my office and gathering junk to be disposed of and moving the furniture around. I was concerned about the door closing and being locked out. There were larger round tables but only two chairs and one wrought iron loveseat.",elizabeth.tsv,(2000-05-26),-0.08732749,0.12893648
94,I was preparing to do a lecture. For some reason Ann B was involved. People were arriving at my house and I wasn't ready.,elizabeth.tsv,(2000-06-23),-0.10610377,0.17228816
95,"I was at NTNS talking to Jane H and Janet S. I was speaking mostly with Jane H as usual. Jane H was pricing some things to put on the sales floor and Janet S was helping customers. I asked Jane H about her daughter's wedding. She said it is in one week. I asked how Angie Ha is doing and she said fine. I asked about her soon to be son-in-law. She told me that he is a very good guy, but some of his friends were questionable. One of them is an ex-convict. She was still sure that the son-in-law is a very good guy. She was pricing some bright yellow bath towels. I commented about them because they were so large and very thick. They were very nice. She asked if I was interested in them because she used to price things special if she knew I wanted them. I told her I needed to stick to my budget so I better not. She then asked Janet S if she was interested in them. When she held them up for Janet S to look at them they were draperies and not towels. She also told Janet S the size but I don't remember the number exactly. I think it was 13 inches or 18 inches. Janet S decided she wanted them. I decided I needed to leave. As I was on my way out the door. I told them I was on my way to a wedding. I came back in and said it was the wedding of my first of six Godchildren. They were amazed that I had six Godchildren. I noted also that it was the first of my parent's grandchildren to be married. Chuck C was standing at the register preparing to make a purchase. Just after I left the store, I realized that it wasn't the first Godchild but rather the second, thinking that Jody S was the first. I thought I should go back and correct my error but didn't. After leaving the store, I decided I wanted a straw hat for the wedding so I decided to go into this other store and look for one. I accidentally went back into NTNS but hurried back out hoping they didn't see me. When I went into the other store, she had a pile of three or four straw hats on her counter. The straw was beige and the ribbons were black. I decided to buy one even though the ribbon was the wrong color. I left the store. Outside the store, I pulled the black ribbon off and decided that I could buy some pink ribbon so it would coordinate more with my outfit. After leaving the store, I realized I didn't pay her. I ran back and apologized profusely for my oversight. She was very kind about it. I left the store again and headed for my car. The stores were downtown. I was parked under some steel bridges or some such. As I was trying to get to my car I realized a bunch of people, like a large family, were in the way. They were standing along the street and doing something to a baby. Perhaps they were just changing a diaper. The baby had no other clothes on and was very large; not just like a large baby but very large. I'm not sure how to describe it. The baby also looked like it had something all over it that gave its skin a glazed appearance. Just as I approached them, they finished what they were doing and left. I got into my car and left also. As I was driving, I was going very fast, because I realized I was running late. I ran over a curb on my left side. It was the kind that divides two-way traffic. I had to drive strangely to get back over the curb and onto the road properly. I worried that I would ruin a tire doing this but I didn't. Other cars were headed straight at me and had to drive to miss me. I think I was still on the right side of the road. I had the sense that it was the fact that I was in such a hurry that was causing the problem not that I was in a wrong lane. A van pulled cross ways in front of me and then drove up into a grassy hill to avoid being hit and then back onto the road behind me. I had the sense that they had been trying to merge with traffic and pulled out to far without there being adequate room for them to pull out properly so they had to make this maneuver to avoid being hit by me. It was their inappropriate driving that caused their situation not mine. As I continued to drive, I was thinking how much I hate driving downtown because I hate driving this route. I suddenly realized I had missed my exit. Shortly after that, the road became train tracks and I was the only one there. Instead of driving a car my vehicle was suddenly a semi-tractor with a chain of trailers. Instead of driving it, however, I was pushing it. It was full size and I was normal size yet I was pushing it as though I was a child playing with a toy truck. I was still hurrying because I knew I was especially late now that I had missed my turn and ran into this unexpected obstacle. As I continued to push the truck, it started to go underneath a train. I'm not sure how that would be possible. This lends itself to this on-going oddity of sizes. I pulled the truck back out from under the train and lifted it onto the next set of tracks. I eventually came to a tollbooth. There were several lanes and all were full so I got in line. Most of the other trucks had the drivers inside them but I was still outside and behind of mine. As it became my turn at the tollbooth, I pushed my truck through. It went rolling down the hill and into the highway. It was a regular highway again now. I was still waiting for the tollbooth agent so I could pay my toll. I was trying to keep an eye on my truck so I knew where it headed. I was wondering if I would be able to catch it. I saw it take an exit ramp. It was in the middle of quite a bit of traffic and seemed to be doing just fine without a driver. You would think a capable driver were at the wheel. While I was waiting to pay the toll, I saw another driver outside of his truck in the same situation. His truck had gone ahead without him. He was dancing around at the tollbooth trying to get the agent to hurry so he could catch his truck as well. I don't know why, but at this point I felt reassured that I would be able to catch my truck.",elizabeth.tsv,(2000-06-24),-0.29323626,0.13429858
101,"There was something oddly familiar about this. I was at a meeting. I think at the hospital. I felt like I had been at this meeting before. There were several large round tables. Doctor Bl was sitting at one of those tables. I sat at another. Someone was sitting on both sides of him, though there was an empty chair at his table. We had been given manuals by the presenter to follow along. The pages were glossy and the colors were shades of beige/brown/gold. The man I was sitting next to had his book open to a different page than I did. Doctor Bl's was open to a still different page. I changed mine to the same page as Doctor Bl. The man next to me, whom I felt was superior in some way, told me that was wrong. That page said 1999-2000 goals and objectives. The man next to me finally convinced me it was the wrong page so I turned to the page he was on. I was walking outside, back to the meeting. Another woman walked up alongside me and took my hand. I asked her if we had met at this same meeting the last time. She said yes. She appeared older than me, with very full, shoulder length, straight, salt and pepper hair. I never did see her face. She was getting ready to take lunch to a group of people. It was part of, or an exercise of, this meeting. She stated that she had done it the last time and found it very rewarding. We had the option to take lunch to someone or to have a spiritual lunch by ourselves. She left and I prepared my car/mini-van to take lunch to some people. I had the car running and the AC running so it would cool off. It was a beautiful summer day. I remember how green the grass was. As I was doing this I felt excited like it was a very good think to do and that I would enjoy it. Then I saw other people sitting in the grass and eating lunch alone or in pairs. I thought maybe I should do the same. I remember thinking that I didn't know who I would take lunch to anyway.",elizabeth.tsv,(2000-07-09),-0.14172901,0.025605755
116,I was talking to two women and a man. One woman was Darren's new wife but it wasn't Angie Ho and I'm not even sure that Darren was my ex-husband. My ex-in-laws were there but it wasn't Ray H & Kay H [different people than in waking life] . I had begun to feel good about how I was doing on my own when the ex-wife shows up and tells me that he hasn't kept up with the car payments and now I have to catch them up. I got very upset.,elizabeth.tsv,(2000-08-18),-0.13732629,0.09207696
118,"They were firing Jane H and I went and talked to the person who was firing her. I was very upset because I know she didn't deserve it. Somewhere along the line, someone suggested I interview to be the store manager again. I asked about the current JLI members to see if there was anyone around who would remember me. I was inside the shop but it was jut a very small room, like a small living room. There was very little merchandise. Jane H and Janet S said that's all there was. They gave the impression that there was concern that the store might have to close. There were several colors. The one that sticks in my head is red. There were two very cool pieces of furniture. I'm not sure if they were really pieces of furniture. One of them reminded me of a miniature of Grandma F's wardrobe. The other was similar, larger, and yet different. One was marked $300 and the other $130. Jane H was marking them down and making it sound as though they should already have been marked down but I wondered if she was just doing it for me, as she often does in waking life. I remember the prices $50 and $75 being mentioned or both for $125 or $150.",elizabeth.tsv,(2000-08-19),-0.23611054,0.14641654
124,"I was cleaning out the garage of the house on Lakeland Dr. I wanted to try to make room for at least one car but it seemed nearly impossible because there was hardly room to walk. I told someone, more than one person, what we were doing though I didn't actually see other people. I started moving everything out of the garage into the driveway. There were many bikes, boxes, linens not in boxes or anything, gift tins and baskets with things in them. I don't remember throwing anything away or giving anything away. I was just organizing to make things fit better. One of the baskets had many little, jewelry-sized gift-wrapped boxes in it. I realized that I had saved those to use for future gifts.",elizabeth.tsv,(2000-09-04),-0.082019076,0.20191361
128,"I think I was at CIIS. I said something to a group about my trying to live by the Golden Rule. They just smiled and snickered. I went into another room to change to take a walk with two other women. I put on black socks and black tennis shoes. I had a dress on. I said, This looks goofy doesn't it? They agreed with me. I pulled the skirt off and was going to change into pants or shorts. I was trying to zip my suitcase closed, but it was full of potato chips or Tostitos, and they kept falling out. Someone told me a call had been made to let someone know that the group had voted me best because of my comment about the Golden Rule.",elizabeth.tsv,(2000-09-21),-0.087340645,0.05681136
131,"It was the morning of October 21, 2000. I was at this large, old house. 2-3 people showed up for the first regional conference. They had not pre-registered but rather just showed up hoping to get in. I explained to them that the event had been cancelled and I think they left but I'm not sure. The next thing I know there are 50 or more people there for the same reason. Wanting to attend but not having pre-registered. I had them all take a seat at tables. The tables were all like dining tables and set up with dinnerware for a meal. I climbed halfway up this very wide staircase to speak to the people. I said, I am vertically challenged so I'm going to stand up here to help you hear me. They all chuckled. I announced that there had been a problem with the mailing and so we had cancelled the event. Since there were so many of them there, we were going to see what we could do to accommodate them. I explained that there was no way we could get Bart H there at this late notice, but I would see if we could get Barry C on an immediate flight. I also stated that my presentation would be different since I did not have the proper AV equipment. I was thinking that I would only tell them that much although I was worrying about it because I had not finished preparing that talk. I was also trying to figure out what we were going to do about food, etc. I didn't mention anything about vendors because I knew there was nothing that could be done about that. I noted that two of the people who had signed in were people who had worked with dreams and I think I knew them. I had asked one of them if he could make a presentation to fill in the space allotted for Bart H. Somehow the other one got the message that I had asked for him. I decided that was fine. Regarding the food, at first I thought I would have to just tell them they would be on their own for lunch. A little later, I thought I about doing something simple that could be done last minute like calling Subway to deliver. That way we could still do the lunchtime dream discussion groups. I told the people who were there that I would figure out an adjusted price due to the circumstances. I thought a little more about what would be involved to get Barry C here. I thought he would surely have some money in a savings account that he could pay his expenses just until he got there and then I could reimburse him. I would have to tell him not to call Continental just to use his $100 voucher but try to find the best airfare for the time he needed. I would also tell him to just take a cab when he gets here and I would reimburse him for that as well. He might have to take a cab from his home to the CHV airport as well. I think I woke up more than once in the middle of this dream [unless I was simply lucid] thinking I can't believe that this is a dream and the event was supposed to be yesterday. But I am working through this in such detail in a dream, knowing that it didn't or wouldn't happen.",elizabeth.tsv,(2000-10-22),-0.108255886,0.16178519
141,"I opened my middle left desk drawer and work and there were green beans lying loose in it, along with the other things that I actually do keep in there. ",elizabeth.tsv,(2000-11-15),-0.01368194,0.3099428
148,"Matthew and I were going to paint the kitchen. We took down all the Christmas decorations. I specifically remember peeling off the stick-on's, but they were even on the refrigerator door. I kept finding more. When we started painting, we did just a little bit under the windowsill to see how it would look after it dried. The next morning we looked at it and it was a yellowish-beige instead of teal. I took a razor blade and started scraping off the top layer, which exposed the teal. But the teal part was somewhat wet and left it looking rough or textured rather than smooth. I said, well, we could make it work this way. Then Matthew, or perhaps someone else, found the problem and pointed it out. It says to use egg noodles and the ones we used weren't egg. I ate some of the non-egg noodles and then rinsed my mouth as though I had just brushed my teeth. I brushed them over and over again. My teeth and mouth seemed to be coated with teal paint and the water kept rinsing it out. Matthew came up and said, the water is clear now mom! I rinsed a couple more times anyway.",elizabeth.tsv,(2000-12-01),-0.01964013,0.15911295
156,"FD was short-handed. They called and asked me to come in and help for just one night. I agreed. I was surprised at what I found. The place was a mess. I went back to the grill. There was as bun and a hamburger on the grill. not cooking but maybe being kept warm. There were also a bunch of candy wrappers in a section attached to the grill. like the drip pan. The one I remember was an M&M wrapper. I told someone working there that you should always but two meat patties on a sandwich because it will taste much better and people will pay extra for it. I was making someone a fish sandwich so I put two pieces of fish on it. I went to look at the work schedule to see who was coming in that night. It said, Cutler. It was typed in bold black letters. He had been scheduled the previous night also. I thought it was good that he was scheduled because he's a good kid and good worker. For some reason I realized I would have to clean up the kitchen at close. That's a hard and messy job. When it was close to closing time, I took a metal piece off the ice cream syrup to wash it. I got extra syrup on it taking it out. It strung out like melted cheese. The syrup was chocolate and butterscotch. It was good.",elizabeth.tsv,(2001-01-06),-0.29073742,0.010250742
157,"Matthew left for school in the morning and I began working on Christmas presents. I think I was going to wrap some. I had told him to separate the ones for us from the ones for others. The ones for us were to be around the base and front of the tree. I found some for BJ's family, I think, around the front. They had been wrapped by the store in solid color shiny paper. They had little stickers on them that said what is inside. At first, I didn't like the stickers then I decided they were okay. There was a little more room under the tree than in waking life. Several of the packages were very tall and I thought I would lay them on their sides and slide them under the tree. Matthew cam back home. He had car trouble. I went with him in my car to do something about it. While driving/riding I realized we were sitting still in the road. I brought it to Matthew's attention. He looked and realized the car was not in gear. He put it in drive and started going again. He was very distraught about having car problems again. He was thinking about that instead of his driving. We started discussing his finances to see if he had the money to pay for more repairs. I asked him if he had anything in the bank and he said no. Then I asked how much he had in the bank and he said only about $3500. I was very surprised and said, really? He said yes, shaking his head yes at the same time. I suggested that it would be okay for him to buy another used car. We went to look for one. We went to a dealership. The owner walked by us and I told him I was referred to him. I said Matthew's paternal grandmother and his mother were good friends. He looked at us as if he didn't want to be bothered because he didn't know us but I guess he decided to he should because of his mother. Don H was there also. I said, Don H, I was going to call you because I need your help. I wanted him to help Matthew find and purchase a car. We were sitting at a table with the owner and he was hassling us as if he couldn't help. Finally, Darren handed him a check for $35 and said to put him in a car. I told him to make it $75 because I don't want him paying on this forever. He said he didn't think he could do anything because he doesn't sell blue cars, meaning inexpensive or lower end. I said that I was guessing his mother is a friend of Matthew's grandmother they must be somewhat alike. She would probably expect him to help us. He was visibly upset but obviously agreed with me. He told an employee to get the cash box. I could tell he wasn't getting ready to go show us some cars. After he walked away, I realized there were two rows of tables where employees were sitting, maybe having lunch. A black man sitting at one end was sitting there laughing about our conversation. He said the owner couldn't find anything for $75 a month, but knew he would sell us something for that amount because of his mother. I gave the man a playful slap on the arm and said, don't mess with my game here. He laughed harder and nodded his head yes.",elizabeth.tsv,(2001-01-17),-0.26525867,0.012751158
