n,dream,source_filename,date,pca1,pca2,q_pca1,q_pca2
12,"I was babysitting for Matthew and Michael A, but I had to prepare for a show. The show or meeting was to be held at my mother's hometown at a VFW hall. I was having trouble getting ready while babysitting. I asked Aunt P and Aunt H to babysit at their house. They agreed. A short time later, they showed up with Michael A. They were having a difficult time with him. He said he wanted to see me for a little while. A short time later, I went outside to take him back and they were sitting in the driveway waiting. Later, when I left to check on them, they were in the driveway again. This time Aunt J was with them and a fourth person I can't identify. They were having a lot of trouble with Michael A. The fourth person was finally able to pacify him. She gave me directions to the meeting. I went to my meeting. Theresa Ah had made some suggestions for my meeting and the signs. The meeting room was much smaller than I had expected. There were no signs, but the room was full of people. I was supposed to dress as a man. I was only half dressed. I took Michael A back to Theresa Ah and didn't tell her what a problem he was.",elizabeth.tsv,(1993-02-28),-0.30141696,-0.050303243,0.044636507,0.00024750934
19,"I was visiting Matthew's school and as I was walking around the premises there I ran into Bill F. I was very surprised. Quite shocked, honestly. He had never been there before. I didn't know that he was coming up here to visit. I didn't know that he even knew where the school was so I was very surprised to find him there. We were sitting at the school watching traffic go by. We could see a playground from where we were sitting. As we were sitting there, I realized that we were moving. We were both sitting but somehow we were moving. We finally got up and walked back to where we were and walked back then to my car. We were talking about he was there. He expressed a lot of frustration with Daddy. He made some comments about the possibility of moving out. With some hesitation, I suggested to him that Brian F leave Chantelle F and that he and Brian F move to Indy, buy a house, and live together. Then I suggested, hesitantly, that maybe he should spend two weeks with me as kind of a trial period. It would help me out. He could pay me some rent. He could be there for Matthew when I'm not. It would be a good situation for me too. We should do it on a trial basis. While we're talking, we're driving back to the apartment. When we get to the apartment, I go in and realize that I had been robbed. It's somewhat odd, the things that they took. The living room was completely cleaned out. There was nothing left in there. I went in the kitchen and the refrigerator was gone. I remember thinking that I would have to replace the refrigerator as well as all my food. The dryer was gone but not the washer. My apartment had a window air conditioner and they had taken that out of the window and set it on the floor. I went into my bedroom and the only thing that was gone out of my bedroom was my bed. When I came back into the living room, Bill F and Matthew were standing there waiting for me. Bill F commented that something just didn't feel right. At that point, I realized that I didn't check the bathroom. I went to check the bathroom and the door was closed. I opened it without thinking first. There was somebody in my shower. I quickly closed the door and we ran out of the apartment and ran next door to a neighbor called Pop. Pat C and some friends were in her apartment doing laundry and I asked if I could use her phone to call the police. She, of course, let me. I called the police. I don't remember the conversation. After I hung up I went back into the apartment because I thought he would be gone by now. Just as I opened the apartment door, Bill F and Matthew were behind me; this huge man was standing there. I yanked the apartment door closed and as I held it closed, I waved Bill F and Matthew back into the neighbor's apartment. I let go, ran into the neighbor's apartment, and locked the door. This burglar came out of my apartment. He was slamming against the neighbor's door trying to get it open. He finally did get it open. He said he was just looking for a place to take a shower. He didn't say anything about all the things that were gone or missing. He asked if I would rather if he came in there and finished his shower. I said no, no. I pushed him out. I watched and he had trouble getting out of the actual building. He went ahead and left. I started to think that insurance would take care of everything, but then I realized I had no property insurance. How could I get my property insurance reinstated if I file a report, or how could I get my insurance back and then make the claim and still have everything covered by insurance. I started thinking about the morality of that and thought that wasn't right for me to do that. I'll just have to suffer the lost. I also started wondering if friends or family would take up money to help me. How would I replace my lost things? I could get the new bedroom suite that I had been wanting for a long time. Just different odd things like that. The other thing that I remember about the dream that I find very odd, both that it was in the dream and that I remember it was that when I was in the neighbor's apartment there was a cat in there, standing on it's hind legs, urinating into a bowl. I remember the neighbor moving the bowl a little so the cat didn't urinate on the carpet.",elizabeth.tsv,(1995-11-03),-0.29501247,-0.1348481,-0.33875552,0.17769393
20,"Doctor Pi and I were in a room talking about some of my course work. He started to leave. As he started to leave, I began to get undressed. He turned around and came back in. I had taken off my nightgown and was now holding it up against me to keep myself covered. He made some comment about my not having anything on. I told him I thought he was leaving, that was why I did it. He went on to make some comment about what people on campus would say or do if we were personally involved. He said something about getting fired and then something else I don't remember about it being risky. I said, maybe I don't mind the risk! He just looked at me kind of odd and half-smiled then left. The next thing I knew we were in a bedroom, still talking about my classes. I was lying in bed covered with a blanket but had no clothes on. Doctor Pi was sitting on the bed beside me with his back to me, though he was leaning against me, and he had one hand on me I must have said something to him about being worried because he said, yeah, I'm scared too. Then he smiled reassuringly. Students kept coming in to ask him questions. I was worried about this but it did not seem to bother him.",elizabeth.tsv,(1997-05-12),-0.12853901,-0.23450668,-0.3245053,-0.08901226
21,"I was with Bill F at SMW. We were trying to see where Doctor Pi lives. We went in this large building. It looked like a combined office and storage space. Everything was a mess. There were many different rooms. Each room had many different things in it. no boxes. but things sitting out piled on tables and such. I finally looked into one room and I saw Doctor Pi. He was sitting with his back to me, watching TV and combing his hair. Bill F and I walked away and looked into this big double-door closet. I don't remember what was in there. Suddenly Doctor Pi saw us. He seemed a bit embarrassed at his living arrangements. He said that most of his money goes to child support so he couldn't afford much in terms of a place to live. The next thing I remember is he saying that he loves me and wants to marry me. I replied that I love him to and that I accept. We talked a bit about Matthew and about Belle.",elizabeth.tsv,(1997-05-13),-0.21411589,-0.040391155,-0.41820914,-0.13967353
22,"I came to the store and Nicki T was working. She said nothing to me but was working on wearing a cordless phone, which was made to fit into a carry bag of sorts that was to be worn over the shoulder. The base with the numbers was carried in the back part and the speaker/receiver in the front. She was working closely with a sales associate named Nicki T. I reminded her that the phone is only for the store manager and store business. She just shrugged her shoulders. I took her into the back room of the store to talk with her about the apology and other related things. This wasn't our real backroom. It looked like the backroom of the drug stores where I used to work. We were sitting across from each other at a 6ft. table. As we were talking someone just appeared sitting in a chair next to me. I did not recognize her. She told me she was an angel. She was a large woman with very long, permed, light brown hair, which she wore parted in the middle and hanging straight down. I asked Nicki T if she saw her and Nicki T said yes. I asked why she was here and she said to help me. One of the first issues I began talking to Nicki T about was doing markdowns the correct way. I told her she had to do the items in the backroom as well. She wanted to know why and explained to her that was the only way for those things to be correctly priced when they went to the sales floor. As I was explaining this, I saw the section of the backroom where all baby products were stored. I remember seeing baby powder and Vaseline in particular but there was a long row of such products. We then went on to the way she is managing the sales associate Nicki T and the example she sets. She had been trying to keep Nicki T away from me. I reminded her that she is not the store manager, she cannot keep employees from me, and she must set a good example for the staff. She gave me the look she always does when she gets an attitude and said something but I don't know what. I asked the angel how I was doing and she said fine, patted me on the arm, and smiled reassuringly. Four new people appeared. A man, women, a girl, and a boy. I did not know them and asked them who they were. They, too, said they were angels there to offer me their support. They patted me on the shoulder and then said hello to the other angel touching her on the shoulder. They remained standing directly behind me and the other angel. I asked Nicki T if she saw them and she said yes. Someone else walked by and I asked them the same thing and they said yes. I wanted to reassure myself that I wasn't just seeing them because I wanted to. I ended my conversation with Nicki T by saying I wasn't going to put up with anymore. I told her that even though it might make my life much more difficult at least temporarily that the next time she screwed around with policy I would terminate her. She acted as though she didn't believe me and I told her she better, because I would. She left the room. I turned to the first angel, the others were now gone though I don't remember them leaving. I asked the angel how she thought I did and she said I did the right thing and I had done fine. I asked her how God thought I did. She said I didn't need him to tell me that. I said but I want to know that he thinks I did the right thing. She said she would ask him, she closed her eyes, within seconds she had a smile on her face. Then she chuckled a little. When she opened her eyes, she said he wants me to ask when I need help but other than that, I don't need his constant reassurance on matters like this. After this was over, I called my friend Jennifer K to tell her about my angel experience. I was so excited that I had an angel encounter. We talked about it a bit but I don't remember any of it. The next thing I knew I was in a large office, supposedly of the company where I work but the surroundings were not familiar to me. A lawyer approached me and said he was representing the sales associate Nicki T. I told him he would have to wait for a few minutes before I spoke to him. I knew I needed to try to get in touch with a company representative before talking to an attorney. I remember asking some of the office workers why Nicki T would need or want an attorney and what were going on because I didn't feel that I knew what was going on. None of them knew what had happened that she would have an attorney either. We were trying unsuccessfully to find a corporate person to give me approval to talk with the attorney or to provide our own attorney. Nicki T's attorney asked me why I felt I needed an attorney present to talk with him. I replied that it was not wise for me to speak with an attorney regarding company business without consulting our own company attorney first. As I was looking for our company attorney or human resource person or someone I said perhaps I should go to the sister company office next door and see if someone there could help. The office staff at my office did not know whom I would talk to there so they were trying to find out. While I was waiting, I went into one of the back offices. There were quite a few other people in this room. I was told that everyone in there was being punished by being put on a game show. One of the people in the room was actor/director Ron Howard. He had put on several different costumes and was required to do comedy routines in each one. He was with two other people in each of these routines. The final routine each of the two people he was with was required to light a huge firecracker of sorts. One person lit his on the top and it sparked a bit and then fizzled. The other lit his from the bottom and it shot off into the air. Someone said that is what you were supposed to do with them, so the first guy lit his at the bottom and it took off into the air. Both firecrackers were flying around the office in and out of hallways and doors. I crouched to the floor to avoid being hit. Someone said that was the whole purpose of lighting them, to avoid being hit by them.",elizabeth.tsv,(1997-06-15),-0.3079364,-0.061282214,0.10764485,-0.13339029
23,"My mother and my son had both said some things about John Davidson, unpleasant and untrue, and they had started to spread as rumors. One of them, the one my son said, had actually been printed as a headline in a newspaper. John was in our town one day and so we told them they had to talk with him and tell him what they said, that they were responsible for it and to apologize to him. My mother did it. My son also did it. He said he wanted me to be with him when he did. Shortly after, I saw him sitting down at a table with John so I went over to join them. When I got there all of the seats were taken by many of Matthew's friends and John. I asked Matthew if he still wanted me there. He said, well, since I didn't ask you to be here in the first place. He started laughing and looking at his friends. I slapped his check, not too hard but hard enough to sting. I told him that's what he gets for lying and I walked away. I was walking through the town looking at the houses as I walked. I came upon several houses that had black wrought iron shelves on the back outside walls. They were on rollers, kind of like the roller ladders you see by high library shelves. I was commenting on how much I liked those. I was thinking about buying one of those houses. I heard that John was interested in this particular house. I remember thinking that perhaps John and I would get together then. Somebody standing near me asked me if I had seen the fifth floor of the house. I remember looking up at it for the first time and counting the floors. I only saw four so I thought it must have a basement. They took me inside to show me the fifth floor. When I went inside to see the fifth floor, I was suddenly a teenage girl accompanied by my mother and a girl friend. As we went through the house I noticed how old it was, and that it needed a lot of remodeling but I thought how fun that would be. I also noticed the floors were all hardwood and in very bad shape. I thought about the stripping and refinishing that would be needed. When we came to the fifth floor, there were two rooms. The first room was a nicely decorated dining room. It seemed as though there might be a kitchen off the dining room, but I did not see it. The table was set for a meal and in fact there were two people sitting getting ready to eat and they had food on their plates. A third person emerged through a door with more food, perhaps a turkey. It seemed as though they were preparing to celebrate a holiday meal and that they were expecting us for dinner. They asked us to join them. The person who emerged with the food was a blonde, pretty woman perhaps in her early 40's. The next thing I know, we are still in the house. I see the housekeeper, a black, heavyset woman, looking very sad as though she will not be needed here any longer. The next thing I see she is putting two children to bed. She is lying in bed with them to tell them a bedtime story. The one child is very small, perhaps one year old or less. The other appears to perhaps be near the age of three. At this moment, I get the sense that I am the older child, though I am watching this happen and I am still in the same house. We then go to see the other room of the fifth floor of this house. There is nothing in the room except a ladder that leads to a very dark area, maybe another room or attic? My girlfriend and I are alone so we decide to climb the ladder and see what is up there. I don't know how we manage but we seem to both be near the top of the ladder looking into this area. It is indeed an attic. It has a lot of stuff in there that we think looks so cool! There is something almost right in front of us that is covered by a cloth. We remove the cloth and are startled to find it is a very small gorilla, about the size of a monkey. The gorilla only moves slightly, looks directly at us, but makes no sound. We cover it again quickly. We debate whether we should go into the attic and look around. We think we shouldn't but we go anyway. We are too curious and really want to look at some of this cool stuff up here. We are now walking through several rooms of the house talking about what it would cost to redecorate and how we can come up with a budget. I am wondering how I would go about this. I want to have a decorator come in. I am still with my girlfriend. We are making a list of what we would need to do in each room. Wallpaper, curtains, wall plate covers, paint, throw pillows, and bedspreads. We go into another room and do the same thing. One room had a bed in it that had a bedspread on it. There may have actually been two beds. I also saw some baskets and throw pillows that I liked but I thought they were the wrong color. They are what prompted me to add throw pillows to the list for redecorating. The baskets were somewhat attached to the throw pillows and I saw some type of rings or large hoops, also attached. We are back in the attic now, looking at things from two perspectives. One was just the curiosity of seeing what was there and the other perspective was to see if there were things that we could use in the house when we redecorate. I found this straw purse. I'm not sure it was a purse. I commented that it would be really neat to have on a dresser and have scarves flowing out of it. My girlfriend told me to go for it. I can't remember much else of what we found. There were many cats around. I remember thinking of my allergy to cats but it did not bother me enough to make me leave. The last thing we found was a book about three people. I think they were trapeze artists or perhaps circus performers. They were two men and a woman. The woman was in the middle of the picture. We wondered if the woman in the picture was the owner of the house. Just at that time, my mother was at the bottom of the ladder telling us we shouldn't be up there and especially not going through those things. As she was reprimanding us, the owner of the house appeared. She didn't seem particularly upset that we were up there. She seemed somewhat sad, and that she wanted to explain some things to us. I get the feeling that she was going to tell us that she was in fact that woman, that the gorilla was a gift/reminder of that time, and that she just couldn't bear to part with it because of that. I also get some sense that the gorilla was in this attic and covered up because if anyone found out she had it, it would be taken away by the zoo or some such authority. I also some sense of something about her feeding it everyday.",elizabeth.tsv,(1999-01-17),-0.23882014,-0.10154389,-0.18654072,0.07422948
25,"I was Robin Williams. All three of the children from the movie were there and they were my children. We were riding in an airplane. I don't know why. We were in something like a cargo compartment where we couldn't see the pilot. The pilot may have been flying us down, but I'm not sure. We were all holding on trying to help. It was as if the plane wasn't going to make it all the way over. So we tilted to one side to help the plane go over. As it started to go over, we ran to the other side to help it balance. I don't know what happened. The older daughter and I were outside the airplane. There like bars on the outside that we were hanging onto. I remember having a real close look at the feet of the older daughter. She spent her time putting her feet in a place where she would be able to keep holding on. I realize I am somewhere else, and all three of the children have died in that flight. Somehow, I survived. It was just killing me. I was just dying inside. There was this conveyor belt. All of the children's clothes are coming down a conveyor belt all clean and pressed. clothes that they had on in their accident. It's just killing me that they all died. I just thought I was going to die. I thought I was going to die from the pain. It hurt so badly. The next thing I know I'm in my house and I'm myself again. A friend of mine from high school, Freda L, showed up. She came in my house. She was holding something like a postcard like the ones sent out for Tupperware parties and such. I guess I was having some kind of party like that or selling something like that. It wasn't Tupperware but I don't know exactly what it was. Freda L had come over to give me her order. There is a bunch of people around but I don't know why and I don't know any of them. I don't know if they were all women or if they were both men and women. We went outside and there were people outside too. Some of them were in water. It seemed to be more like a pond than a swimming pool. At that point, it seems that the people were both men and women. Freda L was in the pond now. I asked her if I told her about Darren. She said, no. I told her that he died last week. She went under water and didn't come back up. She was okay. She was under water because she was crying and didn't want anyone to see her. Then, another high school friend, Dorothea D, was there. She wanted to know what was wrong with Freda L. Someone said to her that Anna told her that Darren died last week. Dorothea D said, do you mean the Darren that used to be on Bewitched? I said no, my Darren. Many people were very sad, and so shocked by the news. All I could think about was how terrible I felt about my children dying. I was in so much pain over losing my children. I was having a conversation with God. He assured me that they spent a few seconds being very, very scared but that he went to them and he talked to them, answered their questions, and gave them comfort. They died on impact so they didn't feel any pain. Because he went to them and answered their questions, they weren't scared anymore. While we were having this conversation, I was starting to wash down the inside walls of this baggage compartment or whatever it was that we were in. I was trying to make it all smooth. It was black. There was all this water in it. I think the plane crashed into the water and they died. I don't know why I didn't or how I got out of it. I had like a rag or sponge and dipping into the water and then without wringing it out I would take it to the top of this wall and wash this wall down where it would be smooth and black with no marks on it. I wasn't successful. I just kept doing it. There kept being streaks.",elizabeth.tsv,(1999-08-23),-0.14588384,-0.13370983,0.20602135,0.1558514
26,"Matthew was spending the night with Michael A and Theresa Ah. I don't know why he was spending the night with them. She asked me to watch their baby. They had a baby about 4-5 years ago, shortly before we saw them the last time. I told them I would watch the baby for them. I put her in the front seat of the car with me. I didn't have a child car seat. I just sat her up in the seat. I think she was maybe less than but close to a year old. I buckled her in under the seat belt. Theresa Ah seemed to think that was fine. She didn't say anything about it anyway. Now I am walking somewhere, to my destination, but I don't know where that was. I still have the baby, but I have her in something like a lunch bag. I don't think I am carrying anything else. For some reason I am coming down a back road. As I am coming down this back road there is a car headed right straight at me. It's driving on the wrong side of the road. They don't have their headlights on. Eventually I can get over and it misses me. I see that it is a very beat up police car. I keep going and the same thing happens again. Only this time the lights are on, on the other car. It's another police car, but this time it isn't banged up. The next thing I know I'm still headed for my destination but now I'm walking. As I turn this bend, 5-6 men in black jump out. They are in kind of a six-sided formation; I don't know exactly how to explain it. They are all in black and they all have guns. They take a pose, kind of like something you would see in a movie. It scared me. I turned around and tried to walk as fast as I could the other way. I didn't want to run because I didn't want to scare the baby. I didn't want to hurt the baby. The men quickly overtake me. There are police officers who tell me that there are terrorists, out there that they are trying to capture. They escort me to a main section where I can walk. They tell me that I should be fine as long as I stay in this main area. It's a very public area, kind of like walking along an outdoor mall. As I'm walking I keep coming to these cement ponds. They have small cement strips that you can walk on very carefully to get around the water parts without going out to a main street or anything. I'm walking along these strips, I see some bushes or something like that, and I meet two young girls coming the other way. I very carefully manage to pass them. I keep going and then I meet these girls again. This is odd because I thought they were going the other way before. I manage to catch just a part of their conversation. One of them is trying to decide whether to go to college or whether to work. I see as I go by one of them that there is a very small evergreen tree in a big cement flowerpot. I see falling through that, by these girls, something that looks like a tampon. I keep walking and I come to a place where there are these rooms. There is this couch, some furniture sitting outside one of the rooms. This couch is turned with its back towards me. There is a man sitting in the couch. It is James C. I know Brandy C is inside. I don't know why I know it but I do. There is a chair facing the couch, on the outside also, and Matthew is sitting in there. I don't know why he is with them or how he got there. I said something to James C about gunmen. I said that no, they said we would be safe as long as we stayed on these main streets. Matthew didn't say anything. He was sitting there with one leg over the arm of the chair and reading a magazine. I don't know where I am or who I'm talking to. I'm telling some people about the gunmen. I was reassuring them. They were concerned about the safety of the baby. I opened the lunchbox to the show them and myself that she is okay. I told them what the police said and that they assured us that we should be fine as long as we stayed on these main streets. I continue trying to reassure them that we are safe where we are but they don't want to believe me. They want to take off running because this helicopter is hovering overhead. They are telling us that as long as we stay in the general area where we are we will be fine. These people were panicking. They were running all over the place trying to get out. Now, I'm in this room. It almost seems like an overhead, some kind of a room where you can look out and down out these glass windows. I'm feeling calm and safe because the police told me that if we stayed there we would be safe. However, there are all these other people inside and out, running all over in a panic. There are many people milling around. Everyone is calm down. The baby is fine. I'm not worried about her. All of a sudden, I see something like a baseball record, or being safe, like 5 out of 6 times. For some reason the ration seems like 60 out of 1. The father of this baby comes up to me. It looks like he is discussing with the same person that I am standing with about our safety. I try to reassure him that we are perfectly safe where we are. He doesn't seem to want to go for it. He wants some kind of lessons now on protecting himself. I don't know what kind of lessons. They are trying to reassure us. They have some kind of a metal that's digging into me because of being six and one. I tell him he could use the same thing, but he is too panicked and wants to run. All the while, I know that the baby is safe. We were in front of my apartment here. I don't know if I have the baby with me or not. I'm putting something in the back seat of the car. I'm still assuring whoever is with me that we are going to be safe. I notice a water bottle in the back seat of the car. I think I want to get it out. I don't want them to have that.",elizabeth.tsv,(1999-08-23),-0.18543579,-0.20821567,0.028809557,0.30742744
27,"I was driving somewhere. I don't remember where. I was driving around. I drove into a mall parking lot. I was blocked by a truck that was unloading for The Shoe Store. It had the parking lot and driving area all blocked with a huge thing that was attached to the store and to the truck. I don't know how to explain what it was. Some kind of a conveyor belt for them to unload the shoes from the truck into the store. I was debated how to get where I was going then. All of a sudden, they must have been done, because this huge thing started deflating. It started to collapse. It started to go in, like starting at one end and moving towards the store as it deflated. There was nothing under it as it deflated. It just deflated little by little until it was gone or was done deflating. All that was left was like these robot things that were running towards the store. It seems that maybe the robots had been controlling it or were doing something for the store but I don't know what it was. There is something, not sure they are robots, but something with headphones. There was something about Gale W. She died. It was as if I was there to work. I grabbed some headsets. I was playing around with it. Moving it around to adjust it to fit me.",elizabeth.tsv,(1999-09-01),-0.12703013,-0.02411175,0.23171204,0.2645167
30,"I believe I was a teacher. I took a group of teenagers, along with another adult that I was working with, to some building. We went inside the building. It was a mess. It was dirty and rundown. There was little if anything inside the large room that we were in. I said this would be great. It seemed to be perfect for whatever we wanted it for. At that time, I don't know that I knew what we were looking for. The teens were complaining and such. We went to work cleaning it up and trying to make it usable. I came back into the room and the teens had done a great job fixing it up. There was furniture, pictures hanging on the walls, etc. I took a microphone and told them how very proud I was of them. I told them that I remembered what it was like to be their age, young, afraid, no one to talk to. I told them to feel free to call me at home anytime if they needed someone to talk to. I then handed the microphone to the other adult but don't remember anything that person said. Finally, I told the teens there would be one rule about this room. That rule is confidentiality. Anything that is said in that room stays in that room. That way they would feel safe discussing anything in there.",elizabeth.tsv,(1999-10-28),-0.22706187,-0.04721064,0.15464646,-0.14361441
